,Tweet,Negative,Neutral,Positive
13,"@user #LetsGoTaigo
Was amazing day out and test driving the new #VW #Taigo http",0.0014083261,0.03014055,0.9684511
14,"@user @user @user @user @user @user @user @user @user @user When:

- You don't know what you don't know &amp;
- You refuse to listen &amp; learn (see graphic)

.....the inevitable end #result.... You (#VW) R the next .@Nokia 

.@lemondefr .@BW .@technology .@Guardian .@Telegraph .@timesofindia .@bsindia .@NikkeiAsia .@FT .@WSJ .@sfchronicle .@SZ http",0.6795466,0.2977279,0.022725467
15,"@user #YoungtimersShow plenty of variety, sunshine and chilled. Perfect 👍 #Porsche #Ferrari #Tickford #Ford #VW #ClioV6 #Integrale http",0.0025590195,0.05678512,0.9406558
16,A little gift for our #T4 #VW #DubLife #Campervan 🥰😍 http,0.0012035925,0.034677457,0.9641191
17,"ANOTHER GREAT #VWcampervan #AWNING DEAL!
#Vango Airhub Hexaway Low Drive-Away Awning Package - (RRP £940) £825 - with CARPET!
One of the quickest &amp; easiest #driveaway awnings to pitch! See our video here &gt;https://t.co/9SsCCsQYcY
IN STOCK NOW!
#VW #camper #CamperAwning #AwningDeal http",0.0017293029,0.06615755,0.93211305
18,"ANOTHER GREAT #VWcampervan #AWNING DEAL!
#Vango Airhub Hexaway Low Drive-Away Awning Package - (RRP £940) £825 - with CARPET!
One of the quickest &amp; easiest #driveaway awnings to pitch! See our video here &gt;https://t.co/9SsCCsQYcY
IN STOCK NOW!
#VW #camper #CamperAwning #AwningDeal http",0.0017293029,0.06615755,0.93211305
19,"ANOTHER GREAT #VWcampervan #AWNING DEAL!
#Vango Airhub Hexaway Low Drive-Away Awning Package - (RRP £940) £825 - with CARPET!
One of the quickest &amp; easiest #driveaway awnings to pitch! See our video here &gt;https://t.co/9SsCCsQYcY
IN STOCK NOW!
#VW #camper #CamperAwning #AwningDeal http",0.0017293029,0.06615755,0.93211305
20,"ANOTHER GREAT #VWcampervan #AWNING DEAL!
#Vango Airhub Hexaway Low Drive-Away Awning Package - (RRP £940) £825 - with CARPET!
One of the quickest &amp; easiest #driveaway awnings to pitch! See our video here &gt;https://t.co/9SsCCsQYcY
IN STOCK NOW!
#VW #camper #CamperAwning #AwningDeal http",0.0017293029,0.06615755,0.93211305
21,"ANOTHER GREAT #VWcampervan #AWNING DEAL!
#Vango Airhub Hexaway Low Drive-Away Awning Package - (RRP £940) £825 - with CARPET!
One of the quickest &amp; easiest #driveaway awnings to pitch! See our video here &gt;https://t.co/9SsCCsQYcY
IN STOCK NOW!
#VW #camper #CamperAwning #AwningDeal http",0.0017293029,0.06615755,0.93211305
22,And that is the end of a very long road. the 1973 Super Beetle project has been completed. Extremely happy with the final result and now on to the 1971 Super Beetle Project. #VW #Volkswagen #SuperBeetle #ClassicCars #Orangeville #BugsOnTheHill http,0.0023476805,0.031904064,0.9657483
23,Awesome #vw #golf #dasauto http,0.0040406617,0.062494457,0.9334649
24,"Be proactive &amp; save with Small Loan Payments Tables book. Bring it to car, boat, motorcycle, RV dealer, bank or credit union. Order at http #carpayment #rvdealer #toyota #vw #harley http",0.018308906,0.5988335,0.3828576
25,"Bugs &amp; Things :::
Port City Volkswagen Show 2022

Today 2-9 Catoosa OK
Benefit ::: OK Firefighters Burn Camp

#route66 #vw #thing #iwantone #seethebluewhaletoo #getoutanddrive @ Roger's Point Park Catoosa, Ok http",0.03942806,0.85293645,0.107635334
26,"Car Finance On 1000’s of Nearly New and Used Cars

No Deposit On Most Vehicles

Easy To Use Form

https://t.co/LzRXum9xHs

#Ford #Vauxhall #VW #Volkswagen #Audi #bmw #Mercedes #benz #MercedesBenz #Toyota #lexus #HONDA #Nissan #subaru #Kia #volvo #SUV #jeep #carshopping http",0.024643114,0.6140312,0.36132562
27,Coffee time! #starbucks #vw #vwt1 #martini #tarmacworks @user @user http,0.0041204295,0.43891856,0.55696106
28,"Comparing #EVs driven (*haven't driven Bolt). $TSLA, $GM, $F, $GGPI, $LCID, $RIVN #Porsche #VW. Y-axis is Price/🐎pwr. X-axis is range. Generally, believe below line better value, above line better brand. #Lucid big range, big 🐎. Sources: co data, evcompare. http",0.036034238,0.47471637,0.48924926
29,"Congratulations Steven on your ride upgrade with the help from our Sales Associate Yasser V. #customerappreciation
.
.
.
.
.
#rickasevolkswagen #volkswagen #rickcase #soflo #daviefl #florida #car #germancar #vw #suv #customerservice http",0.0015900319,0.056992352,0.9414175
30,"Congratulations on the grand celebration in Salta of the inauguration of #MarianaLithium construction for 20,000 T of LCE #Lithium Chloride production annually powered by Solar Park! http $TNR.v #Royalties⚡️ #MarianaLithium #Ganfeng #EVs #Tesla #VW http",0.00073354697,0.024698865,0.9745676
31,Cool wrap #Audi #R8 #RS4 #eurotuning #vw #stance #lowlife #wheels http http,0.0038215448,0.15803756,0.8381408
32,Dig it!! #vw #dasauto http,0.01025974,0.34945777,0.6402825
33,For all the VW enthusiasts check this out #VW http,0.016790649,0.4877276,0.49548164
34,"Front Left Passenger Door Lock Latch for #Seat Leon, Toledo, Skoda Octavia I, #VW Bora, Golf, and #Passat

OEM Number: 3B1837015A, 6X1837013H, 6X1837015Q, 3D2837015K, 5Z1837015F, 3B1837015Q, 3B1837015AD, 3B1 837 015 A, 6X1 837 013 H, 6X1 837 015 Q

#D2P

https://t.co/KPuLeM5JYm",0.04688241,0.9155746,0.037542924
35,"Going all the way back with VW, to find the way forward with the new  #Taigo #VW... A compact SUV like no other! #LetsGoTaigo http",0.00153375,0.069018714,0.9294475
36,"Happy #NationalTrailsDay! Celebrated every 1st Saturday of June, today is a great day to get outside and enjoy the first weekend of June in nature. Go find your breath of fresh air!! 🏞 🌻🌞 

 #dasauto #vw #vwlove #volkswagen #passatvariant #vwpassat #volks #deutschland #vw http",0.0009670712,0.010209001,0.9888238
37,Happy place 💜🚐✌ #T25 #vanlife #vw #vwcampervan #homeiswhereyouparkit #bohohippie http,0.0011135817,0.02311806,0.97576827
38,Here's a #car you may never have heard of: the #1940s #Volkhart V2 #Sagitta based of the #KDF Wagen Type 60 (#VW #Beetle forerunner) Intended as a fast courier car for the #Luftwaffe Only 2 made. http,0.0631196,0.76926374,0.16761652
39,"Hey! You! Let’s go for a cruise along the coast this #fursuitfriday ! Jump in, sit back, and relax! 🌴
•
📸: @user 
#furry #fursuit #vw http",0.0016327555,0.13254596,0.86582136
40,"Hi guys! We have got a @user and we have some #vw #campervan updates! Watch our latest video on YouTube live now. Please Subscribe! 🙂 #dubventures 
Click ⬇️
https://t.co/8DkVQxoa3R",0.0018174431,0.1956518,0.80253065
41,I think it’s safe to say that my car doesn’t owe me anything after hitting this milestone! All the way to the moon and half way back! #VW #touran #mammywagon http,0.028689155,0.20208518,0.76922566
42,"I'll update occasionally in case on any interesting learnings or eureka moments, along with the daily Noble Card find. Let's go! #NFT #Yoga #VW #T2 #Campervan",0.001212717,0.13680458,0.86198276
43,"It is recommended to have your windshield wipers replaced every 6 months. Take advantage of our special located on our website for replacements for $32.00 per pair. #servicesunday 

https://t.co/rHpKeNIsHq
.
.
.
.
.
#rickcasevolkswagen #vw #carservice #maintenance #volkswagen http",0.07955742,0.62974644,0.29069617
44,"It's only after an overnighter in the bus that I have realised just how many jobs I was ""getting round to"" from last year..time to put the gardening on the backburner #vw #vwtransporter http",0.46204636,0.42615998,0.111793764
45,"It's the end of May, raining and chilly. I've just put a jumper on and Potatoes in the oven, even the cat took one look outside and went back to bed.

Bring on flaming June, please...

#MJNWVIP #MHHSBD #QueenOf #Classic #VW #Campervan #Hire http",0.09109076,0.41693622,0.49197298
46,"Let's ride into summer with Betty! 
-
-
#lineart #artistsontwitter #illustration #digitalillustration #digitalart #flowers #nature #canadianartist #volkswagen #VW #volkswagenbus #retro #love #cute #art #artistsupportingartist #peace #cute #commissions http",0.0023285588,0.088009685,0.90966177
47,"Long weekend vibes...🧡

#SinclairVolkswagen #Volkswagen #VW #view #relax #vanlife #travel #vwmicrobus http",0.004242447,0.22701904,0.76873857
48,"Morning 

#aircooled #aircooledvw #vw #volks #volkswagem #classicvw #fusquinha #beetle #kombi #ragtop #ratlook #germanlook #porsche #calstyle #antigo #callook #brasilia #Käfer #fusca #fuchs http",0.019705284,0.6592357,0.32105905
49,My #FlashbackFriday to 1993 when I was living single and spent my days restoring and customizing vintage #VW beetle &amp; Karmann Ghia #vintage http,0.016398786,0.7466896,0.23691154
50,Name it! #vw #dasauto http,0.057727166,0.7796545,0.16261843
51,"New diecast arrivals: a pair of Premium Classixx (Brekina) Polos in 1:87 scale. Not cheap, but the detail is incredible. Both coupé and hatch also come in 'Fox' versions, but I've chosen the GT-spec coupé (with nice aftermarket rims) and a high-spec metallic green hatchback. #VW http",0.0066285427,0.13876715,0.85460436
52,"Now Playing on VDubRadio: Creation Blue - Ego Trip Radio Show - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.02501163,0.85574245,0.11924598
53,"Now Playing on VDubRadio: D-Ream - Rockin' for Myself - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.023509046,0.8373416,0.13914947
54,"Now Playing on VDubRadio: DJ Marky - In The Groove - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.016094552,0.8157447,0.16816075
55,"Now Playing on VDubRadio: Drum n Bass sessions on VDubRadio (FX) - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.026949435,0.8726009,0.10044969
56,"Now Playing on VDubRadio: Jinny - Keep Warm - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.01953445,0.82143027,0.15903527
57,"Now Playing on VDubRadio: Just Jack - Starz In Their Eyes - Acoustic - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.027414525,0.8453304,0.12725507
58,"Now Playing on VDubRadio: Kariya - Let Me Love You for Tonight - Hip-Hop Radio Version - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.01956937,0.8091728,0.17125793
59,"Now Playing on VDubRadio: Sub Focus, Alice Gold - Out The Blue - Radio Edit - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.020649109,0.8707343,0.108616635
60,"Now Playing on VDubRadio: Tony Smoove - The Love To Funk House Party - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.02637023,0.82846797,0.14516185
61,"Now Playing on VDubRadio: VA - D Train-Youre The One For Me - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.01977626,0.7989438,0.18127985
62,"Now Playing on VDubRadio: VDubRadio - Festival Favourites - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.023851652,0.8282829,0.14786533
63,"Now Playing on VDubRadio: VDubRadio - Main Top Of The Hour Jingle 2 - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.027705682,0.8612575,0.11103682
64,"Now Playing on VDubRadio: VDubRadio - RadioAd4 - Tune in now at http or click here: http 
#vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",0.026588116,0.85714644,0.1162653
65,"Our #TENT &amp; #AWNING DISPLAYS are RIGHT UP TO SPEED for the #camping season! 😎
For #Tents see http see http &amp; #MotorhomeAwnings see http BEST BRANDS AT THE BEST UK PRICES - GUARANTEED!
#VW #Deals http",0.002292293,0.11456638,0.8831414
66,"Our #TENT &amp; #AWNING DISPLAYS are RIGHT UP TO SPEED for the #camping season! 😎
For #Tents see http see http &amp; #MotorhomeAwnings see http BEST BRANDS AT THE BEST UK PRICES - GUARANTEED!
#VW #Deals http",0.002292293,0.11456638,0.8831414
67,Peakใน peak story of #VW vs #Porsche family race  http,0.034226194,0.77920973,0.18656406
68,"Power when you need it. Or just when you want it.

https://t.co/Db6rmn25PD

#Covina #CovinaVolkswagen #CovinaVW #VW #Volkswagen #LosAngeles #SoCal #Atlas #AtlasCrossSport http",0.049611345,0.6846408,0.26574787
69,"Ready to sell your car but don't know where to start? We are here to help so visit our Kelly Blue Book center or go to our website and get started with the process!
https://t.co/DoRRtbbuZO
.
.
.
#TimmonsVolkswagen #LongBeach #Volkswagen #Timmons #VW http",0.020919241,0.52484524,0.45423564
70,Really nice yellow #Beetle in #SaRapita #Mallorca #VW http,0.0012207765,0.04018653,0.9585927
71,Retweet if you enjoy! #vw #dasauto http,0.005164451,0.20999758,0.7848379
72,Reunited and it feels so good. #vw #vwbug #1973superbeetle #scliving http,0.0013750333,0.017547976,0.98107713
73,Show your #car some love this #weekend - great weather for a #washwax - we’re using @user products as always… what’s in your bucket? #weekendvibes #spring #springtime #almostsummer #carshow #carshows #carshowseason #vw #gtmmk4vws #vwgolfestate #vwvr6 #vwmk4 #vwmk4go… http,0.0012261916,0.034524485,0.9642494
74,Shut up and take my money!!! #vw #golf #mk8 http,0.72308,0.24547349,0.031446464
75,Side shot Sunday #vanlife #VW #camping #outdoors #stranraer http,0.010397015,0.78917307,0.20042995
76,Small Chinese EV Makers Gain on Big Carmakers. There are almost no foreign brands among China’s top 10 makers of so-called new energy vehicles. The only exception is #Tesla  http #ElectricVehicles #EVs #cars #VW #Stellantis #Renault #Mercedes #BMW #Volvo,0.04525145,0.4799532,0.47479537
77,"So #VW is to give 🇬🇧 owners money for lying about their cancer-cars. 
What about the great British public who breathed in the shit the liars pumped into our air? #BloodEnergy #EU 
#Dieselgate #MercedesBenz @user 
https://t.co/TFqdXxFMim",0.8700812,0.116972454,0.012946317
78,"Spotted this tasty ‘58 sliding ragtop sunroof Type 1 on the street. #vintage #vw #beetle #bug @ Erie, Colorado http",0.0018946328,0.22045758,0.77764785
79,"Sundays and Volkswagens, made brighter with Mothers Polish. Car: Dawix MK4 #volkswagen #vw #jetta #motherspolish #motherspolished #motherspolishclassic #car #cars #carwash #carwashing #cardetailing #detail #detailing http",0.009232604,0.44315204,0.5476153
80,TNR Gold says Elon Musk is catalyst for partial Ganfeng's Mariana Lithium royalty sale http via @user $TNR.v ☀️ $TRRXF 🔌 #Royalties ⚡️ #MarianaLIthium #Ganfeng $GNENF #Lithium #Batteries #EVs #ElectricCars #Tesla #VW #BMW #BYD $LIT $BATT $GDXJ,0.009376283,0.7147979,0.2758258
81,TNR Gold says Elon Musk is catalyst for partial Ganfeng's Mariana Lithium royalty sale http via @user $TNR.v ☀️ $TRRXF 🔌 #Royalties ⚡️ #MarianaLIthium #Ganfeng $GNENF #Lithium #Batteries #EVs #ElectricCars #Tesla #VW #BMW #BYD $LIT $BATT $GDXJ,0.009376283,0.7147979,0.2758258
82,TNR Gold says Elon Musk is catalyst for partial Ganfeng's Mariana Lithium royalty sale http via @user $TNR.v ☀️ $TRRXF 🔌 #Royalties ⚡️ #MarianaLIthium #Ganfeng $GNENF #Lithium #Batteries #EVs #ElectricCars #Tesla #VW #BMW #BYD $LIT $BATT $GDXJ,0.009376283,0.7147979,0.2758258
83,"Take some time to peek at our Pre-Owned Manager Specials located on our website! #savingssaturday 

https://t.co/TzVzSgw7fv
.
.
.
.
.
#rickcasevolkswagen #volkswagen #vw #germancar #suv #adventure #sleek #luxury #sedan #taos #jetta #atlas #car #cars #davie #florida #weston #vwcar http",0.008622656,0.56385326,0.4275241
84,"Test drove the NEW @user #Taigo 😀 👏. It was an amazing launch. The car is fast and smooth to drive.

One day I will be the @user Brand Ambassador 😁.

#vw #car Tested #launchpad http",0.0012542898,0.01659129,0.9821544
85,"That's really out of sight!  #vw #beetle #car http",0.053793322,0.40910092,0.5371057
86,That's the two @user clean again for another week or so. #upgti #id3 #vw #vwuk #vwownersclub #tornadored #makenaturquoise #gti #1stedition #bhp #kwh http,0.01176976,0.7355126,0.25271755
87,The #Brubaker Box is a #1970s kit #car based on a #VW/#Volkswagen #Beetle chassis Apparently 2 guys were planning to relaunch it a couple of years ago Anyone know anything about that? http,0.034583125,0.86908615,0.09633077
88,"The Simpsons messed up this time. It’s supposed to be a Ghia.
.
.
.
#aircooled #vw #porsche #thesimpsons #oneday http",0.72139347,0.23218232,0.0464241
89,"The auto industry (minus Tesla) had a combined ad spend of $47 BILLION in 2015

What a few of those other auto co's spent on their advertising budgets that year

All in BILLIONS

#VW $6.6 
$GM $5.1 
#Daimler $5 
$F $4.3 
$TM $4.1 
$FCAU $3.9 
#BMW $3.1

https://t.co/OwISPqh8tK",0.15097752,0.76665896,0.08236351
90,"This month, get our pot hole recovery special here at Ciocca Volkswagen of Allentown! Schedule an appointment on  our website today! http #potholespecial #tires #servicespecial #service #VW #Volkswagen #Preowned #Allentown #PA #AllentownPA http",0.016755123,0.56515884,0.41808608
91,"Tiny car prepares to take urban mobility by storm. The 'Microlino a modern and electric version of the classic #Isetta, the mythical microcar, is ultra-compact dimensions and has a neo-retro style. http #ElectricVehicles #ElectricCars #EVs #cars #VW #BMW",0.0030039616,0.25868103,0.73831505
92,"VW Bug Collectible Toy Car Metal Beetle
#collectible #collectiblecar #vw #Beetlejuice 
https://t.co/9JINh3Ccq9 http",0.06641146,0.8320257,0.10156286
93,"VW Bug Collectible Toy Car Metal Beetle
#collectible #collectiblecar #vw #Beetlejuice 
https://t.co/qNQP7ef46c http",0.06609301,0.82663953,0.10726738
94,"We fix since 2007 all Japanese Car radios such as

#Crown #Audi #Vw #Merdes 

Contact us for solution
+614303 86787 http",0.11929976,0.6635361,0.21716428
95,"We fix since 2007 all Japanese Car radios such as

#Crown #Audi #Vw #Merdes 

Contact us for solution
+614303 86787 http",0.11929976,0.6635361,0.21716428
96,"We're doing some reorganizing, we'll be back on track with weekly designs soon. We have some cool designs coming your way, stay tuned! 😉
#caricature #carcaricature #funny #exaggerate #VW #beetle #slugbug #volkswagen http",0.0011800034,0.03962067,0.9591994
97,"Windrush includes a complimentary service wash whenever your Volkswagen is with us for servicing or major repairs.

Book your car in with us today at http #Volkswagen #VWServicing #Servicing #CustomerService #CustomerDelight http",0.014749317,0.5183024,0.46694818
98,"carry up!
#vw #volkswagen #upgti http http",0.02797167,0.63448673,0.3375416
99,"http ID. Buzz Cargo is not only a practical Transporter, it’s also a notable innovation, with its expressive design and high degree of functionality.
#vw #vwidbuzz #vwidbuzzcargo #volkswagen #volkswagenidbuzz #volkswagenidbuzzcargo #idbuzz #idbuzzcargo",0.0031069117,0.14406969,0.8528233
100,"🎼 “Daizy, Daizy … give us your answer due.” 🎶 
 
#Overhauling #VWBug #VW @user 
 
How it started.    How it’s going: http",0.16641627,0.74566334,0.08792033
